id,stage,text,source
1,refusal,"I keep waiting for the perfect moment to start.",core
2,refusal,"I tell myself I'm not ready yet, even though I have enough to begin.",core
3,refusal,"I delay because starting would make my intentions real.",core
4,refusal,"I hide behind planning so I don't have to risk failure.",core
5,refusal,"I keep polishing instead of publishing.",core
6,refusal,"I avoid the next step because it might expose what I actually want.",core
7,refusal,"I pretend I'm busy when I'm really afraid.",core
8,refusal,"I numb out instead of choosing a direction.",core
9,refusal,"I overthink until the moment passes.",core
10,refusal,"I wait for external permission instead of committing.",core
11,call,"Something in me knows the current way of living isn't enough.",core
12,call,"I feel a pull toward a truer life, even if I can't explain it.",core
13,call,"A new possibility appears and I can't unsee it.",core
14,call,"I sense a mission forming: build something that matters.",core
15,call,"I get a signal—an invitation to level up.",core
16,call,"I feel the discomfort that precedes change.",core
17,call,"I notice a repeating pattern and decide it ends here.",core
18,call,"I see a path where my skills and values align.",core
19,call,"I realize the cost of staying the same is higher than changing.",core
20,call,"I feel a quiet certainty: it's time.",core
21,threshold,"I take one step even while afraid.",core
22,threshold,"I choose action over reassurance.",core
23,threshold,"I send the message, ship the commit, make the call.",core
24,threshold,"I cross the line from thinking to doing.",core
25,threshold,"I stop negotiating with my fear and move anyway.",core
26,threshold,"I make the first uncomfortable move and survive it.",core
27,threshold,"I accept that imperfect action is the entrance fee.",core
28,threshold,"I begin before confidence arrives.",core
29,threshold,"I commit publicly so I can't retreat easily.",core
30,threshold,"I let momentum replace motivation.",core
31,tests,"I hit friction and treat it as feedback, not failure.",core
32,tests,"I learn by breaking things and fixing them.",core
33,tests,"I keep iterating instead of quitting.",core
34,tests,"I notice old triggers and practice staying present anyway.",core
35,tests,"I refine the system: smaller steps, clearer inputs.",core
36,tests,"I get rejected and stay on the path.",core
37,tests,"I feel resistance and choose discipline.",core
38,tests,"I stop chasing novelty and do the boring reps.",core
39,tests,"I test assumptions with reality, not mood.",core
40,tests,"I build stamina for uncertainty.",core
41,allies,"I find people who make the path clearer.",core
42,allies,"I ask for help without collapsing my self-respect.",core
43,allies,"I learn from mentors but keep my own compass.",core
44,allies,"I let supportive people amplify my momentum.",core
45,allies,"I collaborate without surrendering my agency.",core
46,allies,"I accept guidance while owning the decisions.",core
47,allies,"I join a community that raises my standards.",core
48,allies,"I build tools that help me think better.",core
49,allies,"I surround myself with builders, not spectators.",core
50,allies,"I choose environments that match the man I'm becoming.",core
51,approach,"I simplify the plan until it's executable.",core
52,approach,"I focus on the one constraint that unlocks progress.",core
53,approach,"I remove distractions that keep me fragmented.",core
54,approach,"I choose a single direction and allocate energy to it.",core
55,approach,"I structure my day so the important work happens first.",core
56,approach,"I stop seeking intensity and start seeking consistency.",core
57,approach,"I measure progress with outputs, not feelings.",core
58,approach,"I decide what 'done' looks like before I begin.",core
59,approach,"I create a repeatable workflow instead of improvising daily.",core
60,approach,"I move from ambition to implementation.",core
61,ordeal,"Everything falls apart and I learn what matters.",core
62,ordeal,"I face the part of me that wants to self-sabotage.",core
63,ordeal,"I hit a low and choose not to abandon myself.",core
64,ordeal,"I confront shame without letting it steer.",core
65,ordeal,"I stop outsourcing my worth and stand on my own.",core
66,ordeal,"I tolerate discomfort long enough for it to transform.",core
67,ordeal,"I feel grief and keep moving forward.",core
68,ordeal,"I accept the cost of growth instead of resenting it.",core
69,ordeal,"I let old identities die so new ones can form.",core
70,ordeal,"I discover that I can endure more than I thought.",core
71,reward,"I get a win that proves the work is real.",core
72,reward,"I see evidence: the system is producing results.",core
73,reward,"I feel pride without needing anyone else to validate it.",core
74,reward,"I notice I'm calmer because I'm aligned.",core
75,reward,"I earn confidence through repetition.",core
76,reward,"I experience competence: I can build, test, ship.",core
77,reward,"I feel power that comes from integrity.",core
78,reward,"I recognize that I am becoming reliable to myself.",core
79,reward,"I enjoy the quiet satisfaction of progress.",core
80,reward,"I see that my future is being built by my habits.",core
81,return,"I bring what I've learned back into daily life.",core
82,return,"I stop treating growth as a phase and make it a baseline.",core
83,return,"I integrate the lessons into how I work, love, and live.",core
84,return,"I share the framework in a way that helps others.",core
85,return,"I turn the insights into a practical tool.",core
86,return,"I keep the standards even when no one is watching.",core
87,return,"I choose long-term alignment over short-term comfort.",core
88,return,"I refine the system so it survives busy weeks.",core
89,return,"I build a life that matches the man I claim to be.",core
90,return,"I act like the future is already underway.",core
91,integration,"I stop performing and start listening to myself.",core
92,integration,"I can feel the difference between ego and instinct.",core
93,integration,"I respond instead of react.",core
94,integration,"I let my body lead when my mind spirals.",core
95,integration,"I treat emotions as signals, not commands.",core
96,integration,"I hold boundaries without hostility.",core
97,integration,"I choose presence over tactics.",core
98,integration,"I trust myself more because I keep promises to myself.",core
99,integration,"I can be intense without being compulsive.",core
100,integration,"I become congruent: my values and actions match.",core
101,elixir,"I return with something useful for others.",core
102,elixir,"I turn my story into a tool someone else can use.",core
103,elixir,"I explain the path without pretending it's easy.",core
104,elixir,"I teach what I practiced, not what I fantasized.",core
