id,stage,spoke,act,text,source,workstream,psych_axis,composite_vb
1,refusal,3,departure,I keep waiting for the perfect moment to start.,core,core,fear_vs_action,[act=departure | stage=refusal | spoke=3 | source=core | workstream=core | psych_axis=fear_vs_action] :: I keep waiting for the perfect moment to start.
2,refusal,3,departure,"I tell myself I'm not ready yet, even though I have enough to begin.",core,core,fear_vs_action,"[act=departure | stage=refusal | spoke=3 | source=core | workstream=core | psych_axis=fear_vs_action] :: I tell myself I'm not ready yet, even though I have enough to begin."
3,refusal,3,departure,I delay because starting would make my intentions real.,core,core,fear_vs_action,[act=departure | stage=refusal | spoke=3 | source=core | workstream=core | psych_axis=fear_vs_action] :: I delay because starting would make my intentions real.
4,refusal,3,departure,I hide behind planning so I don't have to risk failure.,core,core,fear_vs_action,[act=departure | stage=refusal | spoke=3 | source=core | workstream=core | psych_axis=fear_vs_action] :: I hide behind planning so I don't have to risk failure.
5,refusal,3,departure,I keep polishing instead of publishing.,core,core,image_vs_integrity,[act=departure | stage=refusal | spoke=3 | source=core | workstream=core | psych_axis=image_vs_integrity] :: I keep polishing instead of publishing.
6,refusal,3,departure,I avoid the next step because it might expose what I actually want.,core,core,fear_vs_action,[act=departure | stage=refusal | spoke=3 | source=core | workstream=core | psych_axis=fear_vs_action] :: I avoid the next step because it might expose what I actually want.
7,refusal,3,departure,I pretend I'm busy when I'm really afraid.,core,core,fear_vs_action,[act=departure | stage=refusal | spoke=3 | source=core | workstream=core | psych_axis=fear_vs_action] :: I pretend I'm busy when I'm really afraid.
8,refusal,3,departure,I numb out instead of choosing a direction.,core,core,numbness_vs_presence,[act=departure | stage=refusal | spoke=3 | source=core | workstream=core | psych_axis=numbness_vs_presence] :: I numb out instead of choosing a direction.
9,refusal,3,departure,I overthink until the moment passes.,core,core,fear_vs_action,[act=departure | stage=refusal | spoke=3 | source=core | workstream=core | psych_axis=fear_vs_action] :: I overthink until the moment passes.
10,refusal,3,departure,I wait for external permission instead of committing.,core,core,control_vs_autonomy,[act=departure | stage=refusal | spoke=3 | source=core | workstream=core | psych_axis=control_vs_autonomy] :: I wait for external permission instead of committing.
11,call,2,departure,Something in me knows the current way of living isn't enough.,core,core,comfort_vs_truth,[act=departure | stage=call | spoke=2 | source=core | workstream=core | psych_axis=comfort_vs_truth] :: Something in me knows the current way of living isn't enough.
