,id,stage,spoke,act,text,source,workstream,psych_axis,composite_vb,score
0,355,ordeal,8,initiation,"I face the suit: the persona built from headlines, shame, and projection.",wake_scratch,lmb,image_vs_integrity,"[act=initiation | stage=ordeal | spoke=8 | source=wake_scratch | workstream=lmb | psych_axis=image_vs_integrity] :: I face the suit: the persona built from headlines, shame, and projection.",0.2666141986846924
1,142,call,2,departure,A crack appears in the world; I can’t unsee that my life might be staged.,truman,story,certainty_vs_trust,[act=departure | stage=call | spoke=2 | source=truman | workstream=story | psych_axis=certainty_vs_trust] :: A crack appears in the world; I can’t unsee that my life might be staged.,0.2610229551792145
2,32,tests,6,initiation,I learn by breaking things and fixing them.,core,core,practice_vs_fantasy,[act=initiation | stage=tests | spoke=6 | source=core | workstream=core | psych_axis=practice_vs_fantasy] :: I learn by breaking things and fixing them.,0.25919288396835327
3,602,call,2,departure,Smith names humanity a virus; I confront my own contempt.,agent_smith,spiritual,domination_vs_compassion,[act=departure | stage=call | spoke=2 | source=agent_smith | workstream=spiritual | psych_axis=domination_vs_compassion] :: Smith names humanity a virus; I confront my own contempt.,0.23616987466812134
4,351,approach,7,initiation,I build a ‘Sunrise’ artifact: a clean record of who I am when I’m not performing.,wake_scratch,career,image_vs_integrity,[act=initiation | stage=approach | spoke=7 | source=wake_scratch | workstream=career | psych_axis=image_vs_integrity] :: I build a ‘Sunrise’ artifact: a clean record of who I am when I’m not performing.,0.2314194142818451
5,259,integration,11,return,I hold both mischief and compassion; the trickster becomes a guardian.,journey_west,story,domination_vs_compassion,[act=return | stage=integration | spoke=11 | source=journey_west | workstream=story | psych_axis=domination_vs_compassion] :: I hold both mischief and compassion; the trickster becomes a guardian.,0.22608086466789246
6,385,allies,6,initiation,A witness reminds me who I was before the world broke me.,gladiator,lmb,projection_vs_ownership,[act=initiation | stage=allies | spoke=6 | source=gladiator | workstream=lmb | psych_axis=projection_vs_ownership] :: A witness reminds me who I was before the world broke me.,0.2248861938714981
7,219,threshold,5,departure,I enter the samurai world; my old identity starts to crack.,samurai,story,image_vs_integrity,[act=departure | stage=threshold | spoke=5 | source=samurai | workstream=story | psych_axis=image_vs_integrity] :: I enter the samurai world; my old identity starts to crack.,0.2237786203622818
8,171,integration,11,return,"I remember who I am: not the role, but the chooser.",alice,story,image_vs_integrity,"[act=return | stage=integration | spoke=11 | source=alice | workstream=story | psych_axis=image_vs_integrity] :: I remember who I am: not the role, but the chooser.",0.21862240135669708
9,265,call,2,departure,A failing test suite shows me where discipline is missing; the bug is instructional.,core,career,practice_vs_fantasy,[act=departure | stage=call | spoke=2 | source=core | workstream=career | psych_axis=practice_vs_fantasy] :: A failing test suite shows me where discipline is missing; the bug is instructional.,0.21744057536125183
10,544,tests,6,initiation,I confront the persona: the mask that makes a good impression while hiding the self.,fight_club_revisited,spiritual,image_vs_integrity,[act=initiation | stage=tests | spoke=6 | source=fight_club_revisited | workstream=spiritual | psych_axis=image_vs_integrity] :: I confront the persona: the mask that makes a good impression while hiding the self.,0.21439114212989807
11,114,threshold,5,departure,The old reality breaks; I realize I was living inside an operating system.,matrix,story,practice_vs_fantasy,[act=departure | stage=threshold | spoke=5 | source=matrix | workstream=story | psych_axis=practice_vs_fantasy] :: The old reality breaks; I realize I was living inside an operating system.,0.2135070115327835
12,196,ordeal,8,initiation,I face the part of me that uses art as avoidance; I choose responsibility over romance with chaos.,WAKE,story,ego_vs_discipline,[act=initiation | stage=ordeal | spoke=8 | source=WAKE | workstream=story | psych_axis=ego_vs_discipline] :: I face the part of me that uses art as avoidance; I choose responsibility over romance with chaos.,0.21136361360549927
13,543,threshold,5,departure,I stop asking what I should be and start meeting what I am.,fight_club_revisited,lmb,projection_vs_ownership,[act=departure | stage=threshold | spoke=5 | source=fight_club_revisited | workstream=lmb | psych_axis=projection_vs_ownership] :: I stop asking what I should be and start meeting what I am.,0.21029160916805267
14,533,refusal,3,departure,"I substitute meaning with status, likes, and aesthetics.",fight_club_revisited,lmb,image_vs_integrity,"[act=departure | stage=refusal | spoke=3 | source=fight_club_revisited | workstream=lmb | psych_axis=image_vs_integrity] :: I substitute meaning with status, likes, and aesthetics.",0.20841148495674133
15,345,tests,6,initiation,I track my triggers like an investigator: what makes the double stronger?,wake_scratch,lmb,practice_vs_fantasy,[act=initiation | stage=tests | spoke=6 | source=wake_scratch | workstream=lmb | psych_axis=practice_vs_fantasy] :: I track my triggers like an investigator: what makes the double stronger?,0.20830759406089783
16,211,ordeal,8,initiation,"I face the chaos that can’t be reasoned with; the Joker tests my integrity, not my strength.",Batman,story,domination_vs_compassion,"[act=initiation | stage=ordeal | spoke=8 | source=Batman | workstream=story | psych_axis=domination_vs_compassion] :: I face the chaos that can’t be reasoned with; the Joker tests my integrity, not my strength.",0.20824885368347168
17,71,reward,9,initiation,I get a win that proves the work is real.,core,core,practice_vs_fantasy,[act=initiation | stage=reward | spoke=9 | source=core | workstream=core | psych_axis=practice_vs_fantasy] :: I get a win that proves the work is real.,0.2076936662197113
18,302,call,2,departure,I see the split: what’s my weather vs what isn’t mine to control.,groundhog_day,lmb,control_vs_autonomy,[act=departure | stage=call | spoke=2 | source=groundhog_day | workstream=lmb | psych_axis=control_vs_autonomy] :: I see the split: what’s my weather vs what isn’t mine to control.,0.20742399990558624
