id,stage,spoke,act,text,source,workstream,psych_axis
1,refusal,3,departure,I keep waiting for the perfect moment to start.,core,core,fear_vs_action
2,refusal,3,departure,"I tell myself I'm not ready yet, even though I have enough to begin.",core,core,fear_vs_action
3,refusal,3,departure,I delay because starting would make my intentions real.,core,core,fear_vs_action
4,refusal,3,departure,I hide behind planning so I don't have to risk failure.,core,core,fear_vs_action
5,refusal,3,departure,I keep polishing instead of publishing.,core,core,image_vs_integrity
6,refusal,3,departure,I avoid the next step because it might expose what I actually want.,core,core,fear_vs_action
7,refusal,3,departure,I pretend I'm busy when I'm really afraid.,core,core,fear_vs_action
8,refusal,3,departure,I numb out instead of choosing a direction.,core,core,numbness_vs_presence
9,refusal,3,departure,I overthink until the moment passes.,core,core,fear_vs_action
10,refusal,3,departure,I wait for external permission instead of committing.,core,core,control_vs_autonomy
11,call,2,departure,Something in me knows the current way of living isn't enough.,core,core,comfort_vs_truth
12,call,2,departure,"I feel a pull toward a truer life, even if I can't explain it.",core,core,comfort_vs_truth
13,call,2,departure,A new possibility appears and I can't unsee it.,core,core,practice_vs_fantasy
14,call,2,departure,I sense a mission forming: build something that matters.,core,core,ego_vs_service
15,call,2,departure,I get a signal—an invitation to level up.,core,core,practice_vs_fantasy
16,call,2,departure,I feel the discomfort that precedes change.,core,core,comfort_vs_truth
17,call,2,departure,I notice a repeating pattern and decide it ends here.,core,core,projection_vs_ownership
18,call,2,departure,I see a path where my skills and values align.,core,core,image_vs_integrity
19,call,2,departure,I realize the cost of staying the same is higher than changing.,core,core,comfort_vs_truth
20,call,2,departure,I feel a quiet certainty: it's time.,core,core,certainty_vs_trust
21,threshold,5,departure,I take one step even while afraid.,core,core,fear_vs_action
22,threshold,5,departure,I choose action over reassurance.,core,core,certainty_vs_trust
23,threshold,5,departure,"I send the message, ship the commit, make the call.",core,core,fear_vs_action
24,threshold,5,departure,I cross the line from thinking to doing.,core,core,fear_vs_action
25,threshold,5,departure,I stop negotiating with my fear and move anyway.,core,core,fear_vs_action
26,threshold,5,departure,I make the first uncomfortable move and survive it.,core,core,fear_vs_action
27,threshold,5,departure,I accept that imperfect action is the entrance fee.,core,core,comfort_vs_truth
28,threshold,5,departure,I begin before confidence arrives.,core,core,fear_vs_action
29,threshold,5,departure,I commit publicly so I can't retreat easily.,core,core,control_vs_autonomy
30,threshold,5,departure,I let momentum replace motivation.,core,core,practice_vs_fantasy
31,tests,6,initiation,"I hit friction and treat it as feedback, not failure.",core,core,practice_vs_fantasy
32,tests,6,initiation,I learn by breaking things and fixing them.,core,core,practice_vs_fantasy
33,tests,6,initiation,I keep iterating instead of quitting.,core,core,practice_vs_fantasy
34,tests,6,initiation,I notice old triggers and practice staying present anyway.,core,core,practice_vs_fantasy
35,tests,6,initiation,"I refine the system: smaller steps, clearer inputs.",core,core,practice_vs_fantasy
36,tests,6,initiation,I get rejected and stay on the path.,core,core,practice_vs_fantasy
37,tests,6,initiation,I feel resistance and choose discipline.,core,core,practice_vs_fantasy
38,tests,6,initiation,I stop chasing novelty and do the boring reps.,core,core,practice_vs_fantasy
39,tests,6,initiation,"I test assumptions with reality, not mood.",core,core,practice_vs_fantasy
40,tests,6,initiation,I build stamina for uncertainty.,core,core,practice_vs_fantasy
41,allies,6,initiation,I find people who make the path clearer.,core,core,mentorship_vs_dependence
42,allies,6,initiation,I ask for help without collapsing my self-respect.,core,core,mentorship_vs_dependence
43,allies,6,initiation,I learn from mentors but keep my own compass.,core,core,mentorship_vs_dependence
44,allies,6,initiation,I let supportive people amplify my momentum.,core,core,mentorship_vs_dependence
45,allies,6,initiation,I collaborate without surrendering my agency.,core,core,mentorship_vs_dependence
46,allies,6,initiation,I accept guidance while owning the decisions.,core,core,mentorship_vs_dependence
47,allies,6,initiation,I join a community that raises my standards.,core,core,mentorship_vs_dependence
48,allies,6,initiation,I build tools that help me think better.,core,core,mentorship_vs_dependence
49,allies,6,initiation,"I surround myself with builders, not spectators.",core,core,mentorship_vs_dependence
50,allies,6,initiation,I choose environments that match the man I'm becoming.,core,core,mentorship_vs_dependence
51,approach,7,initiation,I simplify the plan until it's executable.,core,core,chaos_vs_structure
52,approach,7,initiation,I focus on the one constraint that unlocks progress.,core,core,chaos_vs_structure
53,approach,7,initiation,I remove distractions that keep me fragmented.,core,core,chaos_vs_structure
54,approach,7,initiation,I choose a single direction and allocate energy to it.,core,core,chaos_vs_structure
